job_title,company_name,location,summary
Marketing Data Analyst,Mixbook,Redwood City. CA 94063,Experience visualizing data and creating reports. Experience identifying and adapting to imperfect data. Leverage a combination of internal and external data
Junior Data Analyst,Capgemini,Burbank. CA+1 location,3-5 years exp with SQL. and working with multiple datasets. Experience working withon data warehouses. including data architecture. ETL toolsworkflows. a plus
Jr Data Analyst  Technician,Tesla,Fremont. CA,Work with additional data analyststechnicians to identify trends in data and service technician areas of improvement.
Business Analyst I,Insight Global,San Ramon. CA 94583,Advanced Excel skills and experience working with large data sets. Asset Failure Data Manipulation Investigate asset failure via field reports and collect
Sr. Data Analyst,Yellow Jacket Inc,Menlo Park. CA•Temporarily Remote,Experience building out large data sets and pipelines. Data pipelines: 6 years (Preferred). Experience problem solving and providing business insights and
Management Analyst,City of Cupertino. CA,Cupertino. CA (South Blaney area),Analyze. interpret. summarize. and present administrative and technical information and data in an effective manner. Record keeping principles and procedures.
Data Analyst,Deckers Brands,Goleta. CA 93117,Analyze data to derive insights and develop data visualizations to cultivate decision making. Create data sources in Tableau to support reporting for internal
Data Analyst,Eisenhower Health,Rancho Mirage. CA 92270,Maintains enterprise dataset data dictionaries and definitions. The person in this role will be required to work with the BI team to identify the data needs.
Business Data Analyst - Abbott Diabetes Care,Abbott Laboratories,Alameda. CA,Attention to detail and accuracy. sound judgment. The Business Data Analyst should have a passion for working with the Commercial Team and customers. as well as
Data Analyst,HG Insights,California•Remote,Data Quality: Perform general data quality control tasks. One to three years of data industry experience (preferred). Strong Individual and team work ethics.
Data Modeling Analyst,Experian,Costa Mesa. CA 92626,Perform exploratory data analysis to confirm data integrity and to derive appropriate analytical attributes. Experian's Decision Analytics team is looking for a
Global Operations Data Center Analyst,Salesforce,San Francisco. CA 94105 (South Beach area),Support initiatives related to data hygiene and integrity. Identify. analyze. and interpret trends. alarms. events or patterns in complex data sets within the
Data Analyst,NCIRE,San Francisco. CA,Create SAS andor Stata datasets from raw data and write data analysis programs. Adhere to data security requirements. Performing programming and data analyses.
Business Analyst I,Insight Global,San Ramon. CA 94583,Advanced Excel skills and experience working with large data sets. Asset Failure Data Manipulation Investigate asset failure via field reports and collect
Data Analyst,Curative Inc.,San Dimas. CA 91773,The data analyst will work on our data team alongside data scientists and software engineers. The objective is to increase the data team's capacity for
Healthcare Data Analyst,Curative Inc.,San Dimas. CA 91773,Collect and aggregate data from published medical literature and appendices. The ideal candidate will be a motivated. communicative and collaborative data
Associate Analyst. Data Analytics,Edwards Lifesciences,Irvine. CA,Good knowledge and understanding of Edwards policies. procedures and guidelines relevant to data analytics. This is a new position on our growing Data Analytics
Data Analyst,TikTok,Mountain View. CA+1 location,Conduct data analysis and insightful visualizations. Experience with data mining and machine learning will be a plus. Familiar with Python or SQL.
Trust & Safety Analyst,Discord,San Francisco. CA,Analyze data. propose and implement programmatic rules to handle abuse at scale. We’re looking for a Protector of the Realm whose sworn duty is to defend our
120: Sr Marketing Analyst  Data Scientist,Dataspace,Santa Clara. CA•Temporarily Remote,To support that mission. they are now looking for a strong data analyst  data scientist who understands B2C marketing and can drive analytics in this space.
YMCA CSS Research & Data Analyst,YMCA of San Diego County,San Diego. CA,Develop and maintain data dictionaries and other data management documents (fidelity check lists. data plans and specifications. etc.) to support teams with
Research Analyst IV,County of Orange,Santa Ana. CA,This recruitment is open to the public for a minimum of five (5) business days and will remain open on a continuous basis until 11:59 p.m. (PST) on the day the
Healthcare Data Analyst,American Indian Health & Services,Santa Barbara. CA 93110,Experience with analytic reporting. data interpretation. and effective communication of findings to varied audiences. Read on to learn more.
Disney: Data Analyst,silicon tech solutions,Los Angeles. CA,Experience extracting data from RDBMS system. Experience with Microsoft Excel and experience performing data cleansing activities in an excel.
Data Analyst - Law Enforcement Response Enablement,Snapchat,Los Angeles. CA 90291 (Venice area),Apply your expertise in quantitative analysis and data presentation to identify. analyze and provide insights into large data sets.
Business Analyst,Pitney Bowes,California•Remote,Being detail-oriented and capable of delivering a high level of accuracy. At Pitney Bowes. we do the right thing. the right way.
IRS Pathways Recent Graduate Program (Management and Program...,US Internal Revenue Service,Oakland. CA•Temporarily Remote,Pathways is an Excepted Service Appointment. Schedule D. 5 CFR Part 362. and may NOT be combined with other Excepted Service Appointments (e.g.. Schedule A).
Business Analyst I,Insight Global,San Ramon. CA 94583,Advanced Excel skills and experience working with large data sets. Asset Failure Data Manipulation Investigate asset failure via field reports and collect
Data Analyst. Operations,Trove Recommerce,Brisbane. CA,Experience framing business questions with data and translating business needs into actionable data deliverables - processes. analyses. reports. and datasets.
Business Analyst I,Experian,Costa Mesa. CA 92626,Act as a data steward to monitor and improve overall data quality. Documenting data flows and processes. Experience profiling data. including data discovery.
Data Analyst,zb.io,San Francisco. CA•Remote,Digital marketing: 2 years (Required).
TikTok LIVE Data Analyst,TikTok,Los Angeles. CA,Assist in creating data best practices and documentation to help streamline data operations. Advanced proficiency in data manipulation including SQL. python or
Research Data Analyst 2 (One Year Fixed Term),Stanford University,Stanford. CA,Expertise in SQL for data management and data analysis. Determine additional data collection and reporting requirements.
PROGRAM ANALYST,US Secretary of the Navy Offices (SECNAV),Marine Corps Air Station Miramar. CA•Remote,You will apply functional knowledge of data analysis. data visualization. report writing. data integration. and Cloud environments in order to perform the
Data Analyst MONGO DB Required,Braintrust,San Francisco. CA 94147 (Marina area)•Remote,Gathering data from across various data sources. cleaning that data. and working with the CTO to help craft the story for our Series A round later in the year.
Management Analyst III,City of Redding,Redding. CA,If you are a current City of Redding Employee and took and passed the Management Analyst examination within the last 5 years. you are not required to retest and
Data Analyst,Fisher & Phillips LLP,Irvine. CA 92614 (Business District area),1 to 3 years data analyst experience. The analyst designs. creates and analyzes data reports for results. trends and variations.
Data Analyst 3 : 21-04964,Akraya Inc.,San Jose. CA 95110 (Downtown area),Build new data assets by merging data from multiple data sources. Deliver business insights by building dashboards. reports and analyst views.
Data Science Analyst II,Experian,Costa Mesa. CA 92626,You should be comfortable doing both exploratory evaluations of data in a big data environment and identifying new cutting-edge data sources to drive commercial
Data Analyst,Ernest Packaging Solutions,Commerce. CA 90040,Assist with software deployments and data integration projects. Analyze data  systems and develop detailed specifications for implementation.
Data Analyst. Reconciliation,Square,San Francisco. CA,Translate requirements into applicable data requirements. 4+ years of experience solving complex data problems. Experience with LinuxOSX command line and git.
Data Analyst,Shift,California•Remote,Passion for data. technology and people. Advanced ability to perform exploratory data analysis. Strong analytical capabilities to translate business problems
Forecasting Analyst,Google,Mountain View. CA,2 years of experience in data modeling. data retrieval and gathering. transforming and manipulating data. 4 years of experience manipulating data sets using SQL
Sr. Data Analyst,Cool Minds LLC,Milpitas. CA 95035•Temporarily Remote,Solid organizational skills including attention to detail and multitasking skills. Communicate and liaison with senior stakeholders on key changes and ensure to
Business Analyst I,Insight Global,San Ramon. CA 94583,Advanced Excel skills and experience working with large data sets. Asset Failure Data Manipulation Investigate asset failure via field reports and collect
Assistant Data Analyst- COVID 19 Response (Contract),Brilliant Corners,Los Angeles. CA 90014 (Downtown area)•Temporarily Remote,Comfort working with data systems and learning new data systems. The Assistant Data Analyst works within the HFH Policy & Procurement data team and supports the
Business Analyst,Agama Solutions,Sacramento. CA+3 locations•Remote,Must have familiarity with Public pension systems.
Data Analyst,Activision,Santa Monica. CA,The user acquisition analytics role is building the foundation that will shape analytics and automation for user acquisition across Activision.
Sr Clinical Data Analyst,Cedars-Sinai Medical Center,Los Angeles. CA 90048,A master of healthcare data. data quality management. systems analysis. and statistical analysis including: health system information systems and data flow and
PRINCIPAL HUMAN RESOURCES ANALYST (H.E.A.R. OFFICE),Los Angeles County Metropolitan Transportation...,Los Angeles County. CA,Gathers data and identifies and forecasts program costs. Leads the employee data auditing process and generates complex reports.
Supply Chain Analyst,Tesla,Palo Alto. CA,1-3 years of experience required in data analysis. research. visualization. and communication. Respond promptly. accurately and efficiently to data requests and
HR Data Analyst,Niagara Bottling,Diamond Bar. CA 91765,Develops and automates data and analytics solutions. iteratively builds dashboards to provide data insights on demand. 4 Years  Experience working in Position.
Marketing Specialist - Data Analyst,Sony Electronics Inc,San Diego. CA 92127 (Rancho Bernardo area),Must have at least 2 years of related experience. including preparing. analyzing and reporting on market and sales data. Right to Work (EnglishSpanish).
Consulting Data Analyst,Kaiser Permanente,Santa Clara. CA+2 locations,Tests and maintains data integrity. Under close supervision. this position exists to assist the organization in making strategic data-related decisions by
Senior Data Analyst - Revenue Management,Public Storage,Glendale. CA,Work with other analysts to process large data to transform to usable information. Minimum 6 years prior business analytics and data analysis experience.
Data Analyst,Amazon.com Services LLC,Beaumont. CA,Development of data collection processes and data management systems. Initiative to develop tools. data collection processes. and data management systems.
Compliance Data Analyst - Work From Home,Sutter Health,Sacramento. CA•Remote,Must have a strong background in statistical analysis. including developing data models. preparing reports. and data presentation. Shift Hours:8 Hour Shift.
Data Analyst,Amazon.com Services LLC,Beaumont. CA,Development of data collection processes and data management systems. Initiative to develop tools. data collection processes. and data management systems.
Compliance Data Analyst - Work From Home,Sutter Health,Sacramento. CA•Remote,Must have a strong background in statistical analysis. including developing data models. preparing reports. and data presentation. Shift Hours:8 Hour Shift.
Business Analyst I,Insight Global,San Ramon. CA 94583,Advanced Excel skills and experience working with large data sets. Asset Failure Data Manipulation Investigate asset failure via field reports and collect
Staff Analyst. Production Data & Analytics,Walt Disney Animation Studios,Burbank. CA,The Studio Analytics team is responsible for developing a strategy and vision for cross-functional and complex data analysis projects.
Data Analyst. Community Operations,Facebook,Sunnyvale. CA 94089 (Lakewood area)+1 location,Partner with analytics and data engineering teams to identify and close gaps in logging and data infrastructure.
Business Analyst (Full Time) United States,Cisco Systems,San Jose. CA,You will analyze internal processes. data. and problems and identify benefits from enabling new capabilities within the business.
Business Analyst - Full Time,Therma,San Francisco. CA,Advanced proficiency with analytics. data manipulation and primary research. You will analyze market trends. cold chain product innovations. and climate
Data Analyst,ActiveVideo,San Jose. CA 95110 (Downtown area),Monitor data quality and drive issues to resolution. As a Data Analyst at ActiveVideo. you will play a key technical role in driving our success by providing
Input Data Analyst,Beyond Meat,El Segundo. CA,Daily analysis of all data is necessary in order to complete weekly reporting to internal team. manager. and cross-functional teams.
Analyst. Data (Remote),Molina Healthcare,Long Beach. CA 90802•Remote,Designs and implements processes and solutions associated with a wide variety of data sets used for datatext mining. analysis. modeling. and predicting to
Business Intelligence Analyst 4,Adobe,San Jose. CA+1 location,Leverage global reporting. analysis. and business modeling to translate data into insights to proactively drive action.
Data Analyst (Remote) - 20668,Splunk,San Jose. CA 95131 (North Valley area)+2 locations•Remote,Understand the requirements of partners and map them with the data sourcesdata warehouse. Partner with Data Governance and engineering teams to define the data
Data Analyst. Product,Trove Recommerce,California•Remote,Empower the Product team to access data independently by training them on Trove's data. self-service tools. and analytical methodologies.
Jr. Data Analyst. ETL,Nuna,California•Remote,Experience with data quality processes. data quality checks. validations. data quality metrics definition and measurement.
Data Analyst II - Telecommute,UnitedHealth Group,Irvine. CA 92603•Remote,Analyze raw data sources and data transformation requirements. Work collaboratively with business teams including data scientists. business intelligence
BI Analyst-SQL ( Power BI),Triune Infomatics Inc,Oakland. CA,Collect and extract data from data warehouse. Performs comprehensive data profiling. analysis. predictive analysis or forecasting. M. DAX. R a plus.
Student Success Support Analyst,California State University. Long Beach,Long Beach. CA 90840 (State College Area area),Updates and maintains college data tracking spreadsheets and file records. Ability to prepare questionnaires. gather and analyze research data. and compile data
Associate Performance Analyst (System),Adventist Health Roseville,Roseville. CA,Performs forecasting and reconciliation of internal data. Compiles and analyzes data to support organization's strategic initiatives.
Business Analyst I,Insight Global,San Ramon. CA 94583,Advanced Excel skills and experience working with large data sets. Asset Failure Data Manipulation Investigate asset failure via field reports and collect
Data Entry Analyst,Calbee North America,Madera. CA•Remote,Analyze data and produce report as required. The primary responsibility of this position is to enter data and provide oversight to the inventory System.
Business Data Analyst,USC,Los Angeles. CA,Ability to manage and analyze data. Knowledge of business statistics and data analyses techniques. Provides recommendations and conclusions gained from
Data Analyst,Synergy Companies,Perris. CA 92571,For example. the morning hours from 8 to 12 would be dedicated to specific needs pertaining to Synergy’s SoCal Division and the hours from 1 to 5 would be
Research Data Analyst (6256U) 19103,University of California Berkeley,Berkeley. CA 94720,Collects and generates original data sets for the purpose of complementing existing data sets and identify errors. Involves draft editing of Economics papers.
Junior Analyst,Golin,California•Remote,Comfort interpreting a variety of different data sources from qualitative research to primary survey data to secondary data sources and creating one cohesive
Data Analytics Associate,Mathematica Policy Research,Oakland. CA 94612 (Downtown area),Perform descriptive and inferential analysis of data. Prepare tables. graphs and other data visualizations to present results.
Research Data Analyst,University of California San Francisco,San Francisco. CA 94143 (Haight-Ashbury area)+2 locations,The individual will work with quantitative data including basic data analysis. data validation. data cleaning. and analysis and interpretation of research
Entry Level Business Analyst,CapitalPlanHoldings,San Francisco. CA,Convert information gathered into details including data sources. data and user type. CapitalPlanHoldings is looking for a Business Analyst. who will be
Data Analyst,Vervent Inc,San Diego. CA 92121,Attention to detail and with strong data analysis and problem-solving skills. Working knowledge of SQL. ETL. data cleansing. and various data visualization
Data Analyst,Helium 10,California•Remote,Understanding of data warehousing concepts. design. modeling and data engineering. Collaborate with data scientists. engineers. and business partners to solve
Business Analyst: Level 1,BAYEN GROUP,Torrance. CA 90502,Offering both full-time and internships positions. As our primary in-house client advocate. the Business Analyst works closely with the client stakeholders and
Data Analyst,LTS,Newark. CA 94560,Conduct data processing. data fusion and statistical analysis by applying database tools. Apply data mining principles to perform data analysis of the
Management and Program Analyst,US Internal Revenue Service,Fresno. CA,OR Three (3) full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree in a related field of study OR LL.M.
Data Analyst,QuinStreet,Foster City. CA 94404•Temporarily Remote,1-3 years of work experience in data analyticsscience. Strong analytical mindset with a drive toward actionable insights from data.
DreamWorks Technology - Data Analyst,NBCUniversal,Glendale. CA,Present data analysis findings andor translate data into an understandable document or dashboard. Strong SQL with experience in querying large. complex data
Business Data Analyst,Digital Dhara,Santa Clara. CA•Temporarily Remote,Data analytics: 5 years (Preferred). The in depth data analysis is must as customer is looking for possible business solution that helps the BI part to be more
Online Marketing Analyst,Match,West Hollywood. CA,You will research. collect. and analyze data. leverage internal and external resources. and data sources to report on successes and actionable opportunities for
Research Data Analyst,University of California Santa Cruz,Santa Clara. CA 95054,Analyzes the interrelationships of data and defines logical aspects of data sets. May supervise data entry. database management and research analysis of
Data Analyst,University of California San Francisco,Richmond. CA+1 location,The Data Analyst will conduct data analytics using CAIR data to identify gaps and disparities in immunization coverage from over 11.000 participating clinical
Data Analyst,OBMedia,Los Angeles. CA•Remote,You will have contributed to ongoing company efforts to manage our massive. often noisy. and continuously changing. data streams.
Data Analyst,San Antonio Regional Hospital,Upland. CA 91786,Research analyst for data integration in support of financial. operating. and productivity reporting processes.
Data  Media Analyst,Veritone,California•Remote,Extract. Transform and Blend data from various and disparate internalexternal data sources. Knowledge of account services and data analytics.
Data Analyst,Wiser Solutions,San Mateo. CA 94402 (Beresford area),Exceptional analytical skills. comfortable working with large amounts of data and communicating data findings.
Data Analyst,clearAvenue,Seaside. CA,Acquire data from primary or secondary data sources and maintain databasesdata systems. Technical expertise. regarding data models. database design development
Data Science Analyst,REVOLVE,Cerritos. CA 90703,Advanced SQL experience. query optimization. data extract. Conduct complex analysis and build models to uncover key learning form data. leading to appropriate
Data Analyst  Data Engineer,Alphataraxia,Newport Beach. CA,Ensure robust data handling data of new and existing resources. Defining goals for data management and strategizing how to use data resources most effectively.
BusinessDataQuality Analyst,Precision technologies,California City. CA•Temporarily Remote,Job Types: Full-time. Contract. Temporarily due to COVID-19.
Research Analyst,Rancho Santiago Community College District,Santa Ana. CA 92706,Good Knowledge of: Statistics. data processing software; data collection instrument development; community college programs.
Senior Data Analyst (Marketing),Turo,San Francisco. CA (Mission Terrace area),Experience using data visualization tools (i.e.. Domo. Tableau. Looker); comfortable transforming data into actionable insights.
Data Analyst,Incredible Health,California•Remote,As the first data analyst on our Analytics team. you will help shape and guide the understanding of our marketplace and customer experience through insights.
Business Analyst,Young's Market Company,Tustin. CA 92780,If you are a current employee. please STOP and apply through the Careers Application in Workday Job Description Summary: Job Description: Enjoy a career
Jr. Data Analyst,Health Advocates,Chatsworth. CA 91311,Job responsibilities include: preparing daily. weekly. monthly. and quarterly reports via Excel and SQL. interpreting and analyzing data from primary and
Jr. Data Analyst. Strategic Analytics,Benefit Cosmetics,San Francisco. CA 94104 (Financial District area),Work with BI engineers to ensure data accuracy and develop efficient processes for data retrieval. Collaborate with regional sales teams to ensure quality of
Data Analyst. Systems,Standard Cognition,San Francisco. CA•Remote,Data is central to decision-making at Standard. and an analyst plays a critical role in informing and evangelizing data-driven decision making across all of our
Senior Data Analyst-Marketing,Kaiser Permanente,Oakland. CA•Remote,These positions function both as a consultant and as a high-level data analyst. The Data Analytic Consultant provides support in making strategic data-related
Healthcare Data Analyst I,ApolloMed,Alhambra. CA•Remote,Ability to manipulate and analyze data to produce accurate results and tell a story of those results in data visualizations. dashboards. and reports.
IT Data Analyst 2022,E. & J. Gallo Winery,Modesto. CA,Mining data to identify patterns for predictive insights. Capable of working with data in Python. R and SQL. Understand and document inputs and outputs of data
Data Management Analyst,KBR,China Lake. CA,The Data Management Analyst responsibilities include the collection and preparation of test data from test facilities for data analysis; provide technical
Data Analyst. Manufacturing Quality,Tesla,Fremont. CA,Write SQL to aggregate and process data across multiple data source. The manufacturing quality data engineering team is responsible for performing advanced
Data Analyst 3,BD,San Diego. CA 92130 (Carmel Valley area),Minimum of one years experience as an analyst. developer. data scientist. business analyst. or quality assurance specialist.
Business Analyst,American Honda Motor Co.. Inc.,Chino. CA 91710,The Business Analyst primary goal is to provide support as needed to the Contact Center for Automobile. Power Equipment. and Powersports personnel.
Business Analyst,Happiest Baby. Inc.,Los Angeles. CA 90016,Strong ability to model data to meet reporting requirements. Perform complex analysis of datasets and conduct regular data validation and governance.
Master Data Analyst,Fox Racing,Irvine. CA 92606 (Business District area),Identify areas for data quality improvements and help to resolve data quality problems and communicate updates to stakeholders at multiple levels.
Analyst. Data Management,Edwards Lifesciences,Irvine. CA,Bachelor's Degree and 3 years of related experience in data management. Develop insights and analytics by applying expertise in data analysis and data mining
Sr. Data Analyst,Workforce Logiq,Santa Clara. CA,4+ years of work into data analytics. Comfortable with both structured and unstructured data. You will create data driven attribution statistical models of
Sr. Data Analyst,Boot Barn,Irvine. CA 92618 (Irvine Health and Science Complex area),5+ years of experience in a data analyst role working directly with databases. Strong understanding of data warehouse concepts.
Data Analyst - Talent Operations,Veeva Systems,Pleasanton. CA 94588•Remote,Experience with data visualization and storytelling. Analytics and data accuracy go hand-in-hand with this role. Hands on experience with Domo.
Product Data Analyst,BOLD,California•Remote,Collaborate with Engineering to advance data infrastructure and governance. Work closely with business partners to extract meaningful insights using a variety
Analyst. Data & Reporting,Disney Streaming Services,Burbank. CA,1-3 years of equivalent experience as an analyst in a data and analytics domain. in a professional or academic setting.
Data Analyst,DocuSign,San Francisco. CA 94105 (South Beach area),Experience with data lakes. ETL. Data pipelining and data warehousing. Manage data requests in JIRA and summarizes data findings and processes in JIRA and
Data Analyst,VIZ Media,San Francisco. CA 94103 (South Of Market area),2-4 years of experience in a data analysis role. Experience with data warehousing (e.g. AWS Redshift or similar). 8 Weeks of Parental Leave.
Senior Data Analyst,Ginger,San Francisco. CA,Foster a culture of broad access to data and autonomy in obtaining answers by implementing dashboards and other tools that helps your data customers extract.
DATA ANALYST,Gaine Technology LLC,San Luis Obispo. CA 93401,Filter and “clean” data by reviewing customer data sets. Acquire data from primary or secondary data sources. utilizing internal ETL tools.
Data Analyst,Enjoy Technology,California•Remote,Problems not solutions - engineers focus on solving problems. not building solutions handed to them.
Data Analyst - US,MOLOCO,Redwood City. CA,2+ years of experience in data analytics. Excellence in logical thinking. problem solving and proven familiarity with big data. Bachelor's degree is required.
Research Data Analyst (6256U) 19103,University of California Berkeley,Berkeley. CA 94720,Collects and generates original data sets for the purpose of complementing existing data sets and identify errors. Involves draft editing of Economics papers.
Data Analyst,DocuSign,San Francisco. CA 94105 (South Beach area),Experience with data lakes. ETL. Data pipelining and data warehousing. Manage data requests in JIRA and summarizes data findings and processes in JIRA and
Data Analyst,Sentry,San Francisco. CA,Interface with data consumers to understand organization's data needs. We own the data pipelines that brings data together from different sources and help
E-Commerce Data Analyst,TriMark USA,Fountain Valley. CA 92708,Manage product and inventory data via ecommerce platforms and combine data from multiple sources. Expert understanding of large datasets; proficiency and strong
Sr. BI Data Analyst  Developer,OSI Digital,Irvine. CA•Remote,Knowledge of data architecture. data modeling. data mapping. data analysis. and data visualization. Excellent analytical skills to forecast and predict trends
Data Analyst. Analytics - Community,Twitch,San Francisco. CA,"Expert fluency in SQL-based data manipulation. Our ideal candidate is a ""full-stack"" data powerhouse who uses data to drive decision-making to make the best"
Data Analyst,Stanford University,Stanford. CA,Devising. implementing and documenting comprehensive data quality checks to ensure data are clean and ready for analysis. Strong writing and analytical skills.
Product Data Analyst,FocusKPI Inc.,Mountain View. CA,Ability to pull data writing complex SQL queries in different data sources. Perform data segmentation and aggregation from scratch.
Product Data Analyst,Cricket Health,San Francisco. CA•Remote,Prior Amplitude experience and at least 25 years experience working with product analytics data. Being an excellent analyst: Uncover business questions.
Data Analyst,Enjoy Technology,California•Remote,Problems not solutions - engineers focus on solving problems. not building solutions handed to them.
Sr. Data Analyst  Architect,QuantumBricks,Milpitas. CA•Temporarily Remote,Solid organizational skills including attention to detail and multitasking skills. *Proven experience working with data process mapping. order to cash.
Data Analyst,Frontapp,San Francisco. CA,Build internal tools that support the analytical needs of functional data analysts. Support internal data automation and enablement efforts in partnership with
Senior Data Analyst,Tradesy,California•Remote,4-8 years experience in an analytics or data related role. Experience with SQL and large data sets (terabyte scale) is a must.
Business Data Analyst,Digital Dhara,Santa Clara. CA•Temporarily Remote,Data analytics: 5 years (Preferred). The in depth data analysis is must as customer is looking for possible business solution that helps the BI part to be more
Senior Data Analyst,Brightwheel,San Francisco. CA•Remote,3 - 5 years of work experience in analytics in technology. financial services. management consulting. or other similar industries. Degree in a STEM area.
Growth Analyst,Collective Inc,California•Remote,Analyze data across our marketing channels and internal systems to understand and strategize around our user base. Bachelor's degree. or equivalent experience.
Junior Data Analyst,Capgemini,Burbank. CA+1 location,3-5 years exp with SQL. and working with multiple datasets. Experience working withon data warehouses. including data architecture. ETL toolsworkflows. a plus
Contact Master Data Analyst,Abbvie,Irvine. CA,Hands on experience managing data quality and master data. This role will require existing knowledge of master data management tools and processes and the
YMCA CSS Research & Data Analyst,YMCA of San Diego County,San Diego. CA,Develop and maintain data dictionaries and other data management documents (fidelity check lists. data plans and specifications. etc.) to support teams with
Data Analyst I,Brain Corp,San Diego. CA,Experience with NetSuite data or Salesforce data. Passion for data quality and delivering effective data to impact the business.
Senior Data Analyst. Product Insights,Pantheon,California•Remote,Collaborate with cross-functional partners to tackle challenges where product data and broader business data intersect. Unlimited time off and sick days.
Sr Data Analyst,Capgemini,Universal City. CA,Experience working withon data warehouses. including data architecture. ETL toolsworkflows. a plus. Experience with one or more data visualization business
Data Informatics Analyst,Amick Brown. LLC,Sunnyvale. CA,Experience working with data. querying. and analyzing data. Programming skills and experience. especially for data exploration and presentation to management
Game Data Analyst,Bytedance,Los Angeles. CA,Monitoring games through data to identify data anomalies and risks- Follow up these problems in time; More than 2 years of experience in data analysis and data
Data Analyst. Design Technology,Tesla,Palo Alto. CA,Familiarity with Directed Acyclic Graph data. 2+ years of experience data analytics in an enterprise setting. High proficiency with Microsoft Windows and Office
Visual Data Analyst - Kaiser Permanente Bernard J. Tyson Sch...,Kaiser Permanente,Pasadena. CA,Minimum five (5) years of related analytical or consulting in technologydata science experience. Collaborate with other analysts on assigned components of
Senior Data Analyst : 21-04928,Akraya Inc.,Foster City. CA 94404,7+ years data analyst or related experience. including proficiency with analytical software or equivalent related education.
Business Analyst,Agama Solutions,Sacramento. CA+3 locations•Remote,Must have familiarity with Public pension systems.
Senior BI Data Analyst - REMOTE,Medable,Palo Alto. CA•Remote,BI governance including data dictionary. report integrity. data quality and data audits. Experience with querying and exploring data stored in data warehouses.
Data Analyst,211 San Diego,San Diego. CA 92123,The Data Analyst strategically supports the Informatics team as well as internal business units to analyze key data to encourage data-driven decisions.
Senior Data Analyst,JLL,San Francisco. CA,Guide and monitor data management processes to ensure data quality and consistency in support of business initiatives. including acquiring new data sources and
Sr Clinical Data Analyst,Cedars-Sinai Medical Center,Los Angeles. CA 90048,A master of healthcare data. data quality management. systems analysis. and statistical analysis including: health system information systems and data flow and
Sr. Data Analyst. Services,Prealize Health,Palo Alto. CA 94301 (Professorville area),Have extensive experience working with health care claims data (large datasets. millions of records) (required). Have expert knowledge of Tableau (required).
Data Analyst,Charles R. Drew University,Los Angeles. CA 90059,Monitors data collection activities and quality of data. Develops and maintains data collection and data management systems.
